Specified Values,Specified Attribute Names,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"0.0, 1.0, 0.0, 0.0, 1.0","A_2, R_0, R_4, R_5, R_6",1.0,0.09619960313488579,0.6260869565217392,1,70.48104445534315,4943,1318,0.45454545454545453,0.000651420287818884,72,115
"1.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_1, A_2, R_0, R_1, R_4, R_6",0.0,0.2373046875,0.75,1,67.41790453580839,4991,1354,0.5454545454545454,0.0006231092503841716,42,56
"0.0, 1.0, 0.0, 0.0","A_1, A_2, R_1, R_5",0.0,1.0,1.0,13,79.98428449077055,4970,1362,0.36363636363636365,0.009610300448097273,230,230
"1.0, 1.0, 0.0, 0.0","A_1, A_2, R_3, R_7",0.0,1.0,1.0,11,72.43070911513266,4982,1382,0.36363636363636365,0.007363840464858707,226,226
"1.0, 1.0, 0.0, 1.0","A_0, A_1, R_3, R_6",1.0,0.23032562805007994,0.7455357142857143,1,83.71814277473513,4977,1383,0.36363636363636365,0.0007737640252555315,167,224
"0.0, 1.0, 1.0, 0.0, 1.0","A_0, R_0, R_1, R_5, R_7",1.0,0.27052290701991805,0.7699115044247787,1,72.22716448263797,4934,1390,0.45454545454545453,0.0006675587832049364,87,113
"1.0, 1.0, 1.0, 1.0","A_2, R_3, R_4, R_7",1.0,0.22031301810905185,0.7389380530973452,1,77.08564922244777,4946,1422,0.36363636363636365,0.0007124632756401449,167,226
"1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, R_3, R_5, R_6",0.0,0.23376289008649898,0.7477477477477478,1,71.4883741866631,4950,1431,0.45454545454545453,0.0006607305219190713,83,111
"1.0, 1.0, 1.0","A_0, A_1, R_6",1.0,0.22785496390733345,0.7439293598233996,3,72.61842608514046,4983,1433,0.2727272727272727,0.0020135250429486372,337,453
"0.0, 1.0, 0.0, 0.0","A_0, A_1, R_2, R_3",0.0,1.0,1.0,16,77.81735735076306,4924,1445,0.36363636363636365,0.011507617281093474,219,219
"0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, R_1, R_2, R_4, R_5, R_7",1.0,0.22301350200402018,0.7407407407407407,1,59.76679463913912,4837,1460,0.6363636363636364,0.0005523939502699666,20,27
"1.0, 1.0, 0.0, 0.0","A_2, R_0, R_5, R_7",0.0,0.23913291219206384,0.7511520737327189,2,75.26350455761522,4970,1504,0.36363636363636365,0.0013912442467348474,163,217
"1.0, 0.0, 1.0, 1.0","A_2, R_0, R_3, R_7",1.0,0.23207791712921816,0.7466666666666667,2,82.0992378238411,4962,1513,0.36363636363636365,0.0015176026276626261,168,225
"0.0, 1.0, 1.0","A_2, R_2, R_6",1.0,0.24828917480508167,0.7568181818181818,1,78.32543201522182,4977,1534,0.2727272727272727,0.0007239219546359347,333,440
"1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_7",0.0,1.0,1.0,11,67.49134632386448,4982,1538,0.36363636363636365,0.006861668388438171,218,218
"0.0, 0.0, 0.0","A_0, R_2, R_3",0.0,0.22210946421295652,0.740139211136891,1,72.04805762951828,4966,1540,0.2727272727272727,0.0006659033900604224,319,431
"0.0, 1.0, 0.0, 1.0, 0.0, 1.0","A_1, A_2, R_0, R_1, R_2, R_4",1.0,0.22965034521487823,0.7450980392156863,1,64.64455008175239,4837,1601,0.5454545454545454,0.0005974765519665194,38,51
"0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_0",1.0,1.0,1.0,16,69.38805496844873,4996,1623,0.36363636363636365,0.010261093509731666,206,206
"1.0, 0.0, 1.0","A_1, A_2, R_2",1.0,0.2468261450803016,0.7559241706161137,2,78.71535069389003,4977,1660,0.2727272727272727,0.0014550515475765186,319,422
"0.0, 1.0, 1.0, 1.0, 1.0","A_1, A_2, R_0, R_1, R_4",1.0,0.2535525376,0.76,1,78.10826344136775,4979,1671,0.45454545454545453,0.0007219147764509567,76,100
"0.0, 0.0, 0.0, 0.0","A_0, A_2, R_0, R_5",0.0,0.22219480427596575,0.7401960784313726,1,75.13859264292152,4991,1742,0.36363636363636365,0.0006944676263526508,151,204
"0.0, 1.0, 1.0, 1.0","A_0, A_1, R_0, R_2",1.0,0.2662118732867609,0.7674418604651163,1,67.16461261178335,4943,1743,0.36363636363636365,0.0006207682025276074,165,215
"1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, R_0, R_1, R_2, R_4, R_5, R_6",1.0,1.0,1.0,1,76.432897536,4893,1749,0.7272727272727273,0.0007064302252682895,13,13
"1.0, 0.0, 0.0, 0.0","A_2, R_1, R_2, R_5",0.0,0.2053877934341675,0.7286432160804021,1,75.89196673577779,4929,1764,0.36363636363636365,0.0007014306782227839,145,199
"1.0, 0.0, 0.0, 0.0","A_2, R_1, R_4, R_7",0.0,0.22219480427596575,0.7401960784313726,1,71.64140385687526,4970,1772,0.36363636363636365,0.0006621448969838108,151,204
"1.0, 1.0, 0.0, 0.0","A_0, A_1, R_6, R_7",0.0,1.0,1.0,11,73.72396773834853,4986,1775,0.36363636363636365,0.007495322681414487,205,205
"0.0, 0.0, 1.0","A_0, A_1, R_0",1.0,0.26071952518441016,0.7642487046632125,3,76.08763906206204,4996,1799,0.2727272727272727,0.0021097175327192655,295,386
"0.0, 0.0","A_0, R_2",0.0,0.09500628298363793,0.6245259165613148,1,75.18276703255616,4994,1802,0.18181818181818182,0.0006948759076690301,494,791
"0.0, 1.0, 0.0, 1.0, 1.0","A_0, A_2, R_3, R_5, R_7",0.0,0.22532211069926403,0.7422680412371134,1,65.19068549121091,4992,1811,0.45454545454545453,0.0006025242025563595,72,97
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_2, R_3, R_4, R_5, R_6, R_7",1.0,0.48533973727032975,0.8653846153846154,1,85.6445610983203,4922,1815,0.5454545454545454,0.0007915689256866613,45,52
"1.0, 1.0","R_5, R_7",1.0,0.10240402782571353,0.6339622641509434,1,68.03510955096617,4987,1815,0.18181818181818182,0.0006288137610327344,504,795
"0.0, 0.0, 0.0","A_2, R_0, R_4",0.0,0.24979171174045509,0.7577319587628866,3,71.79230115483787,4988,1827,0.2727272727272727,0.001990618690863587,294,388
"1.0, 0.0, 1.0","A_0, R_2, R_5",1.0,0.08866718142032967,0.6159600997506235,1,64.3396500198788,4962,1831,0.2727272727272727,0.0005946585164564535,247,401
"0.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, R_3, R_5, R_7",0.0,0.21871664623665604,0.7378640776699029,1,62.335029965839986,4992,1839,0.45454545454545453,0.0005761308373810269,76,103
"1.0, 0.0, 0.0, 0.0, 0.0","A_2, R_1, R_2, R_3, R_7",0.0,0.5441748464303742,0.8854166666666666,1,82.18298129874687,4862,1872,0.45454545454545453,0.0007595753119885146,85,96
"0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_3",0.0,1.0,1.0,8,60.622754966148214,4992,1872,0.36363636363636365,0.00448244123435979,194,194
"1.0, 0.0, 1.0, 1.0","A_1, A_2, R_2, R_4",1.0,0.2495343537242618,0.7575757575757576,2,77.9432440987901,4977,1886,0.36363636363636365,0.0014407791739392201,150,198
"0.0, 1.0, 0.0","A_0, A_1, R_3",0.0,0.2509635272681405,0.7584415584415585,3,62.28366920357153,4992,1901,0.2727272727272727,0.001726968408280912,292,385
"0.0, 0.0, 0.0, 0.0","A_2, R_2, R_4, R_5",0.0,0.2524838995983581,0.7593582887700535,1,78.68679155142925,4843,1907,0.36363636363636365,0.0007272618162242727,142,187
"1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_4",1.0,1.0,1.0,13,53.945400987212494,4974,1911,0.36363636363636365,0.0064816671747562815,197,197
"1.0, 0.0, 0.0, 0.0","A_0, A_1, R_1, R_5",0.0,0.24358224240050078,0.7539267015706806,1,66.76087068098519,4926,1948,0.36363636363636365,0.0006170366221176188,144,191
"1.0, 0.0, 0.0, 1.0","A_1, A_2, R_0, R_2",1.0,0.24371795793223294,0.7540106951871658,1,83.47241885970712,4977,1955,0.36363636363636365,0.0007714929246399191,141,187
"0.0, 0.0, 0.0","A_0, R_0, R_1",0.0,0.24710935412080362,0.7560975609756098,2,77.76401760132703,4957,1958,0.2727272727272727,0.0014374661760271036,279,369
"1.0, 0.0, 0.0, 1.0, 0.0","A_1, A_2, R_0, R_2, R_3",1.0,0.19960038062927776,0.7244897959183674,1,80.78053924547928,4977,1959,0.45454545454545453,0.0007466132565444054,71,98
"0.0, 1.0, 0.0, 1.0, 0.0","A_1, A_2, R_1, R_2, R_7",0.0,0.258404413658952,0.7628865979381443,2,71.91263933313606,4970,1998,0.45454545454545453,0.0013293035758540253,74,97
"0.0, 1.0, 0.0, 1.0","A_0, A_2, R_1, R_5",0.0,0.24168288462761273,0.7527472527472527,1,65.68625943355916,4994,1998,0.36363636363636365,0.0006071045393356275,137,182
"1.0, 0.0, 1.0, 1.0","A_1, R_0, R_6, R_7",1.0,0.2500601317798683,0.7578947368421053,1,83.1216690234744,4983,2004,0.36363636363636365,0.0007682511230883557,144,190
"1.0, 1.0, 0.0, 0.0","A_0, A_2, R_5, R_6",0.0,0.21359418239444494,0.734375,1,71.54323967279666,4955,2012,0.36363636363636365,0.0006612376155787161,141,192
"0.0, 0.0, 1.0, 1.0","A_1, A_2, R_1, R_4",1.0,0.2142226219457319,0.7348066298342542,1,63.11366111131241,4969,2030,0.36363636363636365,0.000583327327285625,133,181
"1.0, 0.0, 1.0, 0.0","A_2, R_1, R_2, R_5",0.0,0.2686058495341802,0.7688172043010753,1,79.26067018449332,4970,2047,0.36363636363636365,0.0007325658832569423,143,186
"1.0, 0.0, 1.0, 1.0","A_0, R_0, R_5, R_7",1.0,0.23308229207214232,0.7473118279569892,1,68.22483518397163,4977,2066,0.36363636363636365,0.0006305672981350024,139,186
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_2, R_0, R_2, R_5, R_6, R_7",1.0,0.2550063900805163,0.7608695652173914,1,60.56424817172918,4987,2075,0.5454545454545454,0.000559764405883052,35,46
"1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_2, R_0, R_5, R_6",0.0,0.24583995944045128,0.7553191489361702,1,63.41653899626219,4884,2078,0.45454545454545453,0.0005861266728474372,71,94
"1.0, 0.0, 1.0, 1.0","A_0, R_0, R_6, R_7",1.0,0.2620503413395761,0.7650273224043715,1,69.29740223332452,4983,2080,0.36363636363636365,0.0006404804874385065,140,183
"0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, R_0, R_3, R_7",1.0,0.2286448723941134,0.7444444444444445,1,60.37702592018072,4770,2119,0.45454545454545453,0.0005580340062567089,67,90
"1.0, 0.0, 1.0, 1.0, 1.0","A_1, A_2, R_0, R_2, R_4",1.0,0.22900814666525524,0.7446808510638298,1,72.12582977768064,4858,2125,0.45454545454545453,0.0006666221982950579,70,94
"0.0, 1.0, 1.0","A_2, R_0, R_4",1.0,0.21208362139917689,0.7333333333333333,1,66.35454775198976,4974,2155,0.2727272727272727,0.0006132811868598266,264,360
"1.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_2, R_0, R_2, R_6, R_7",1.0,0.2373046875,0.75,1,66.90750391152213,4814,2165,0.5454545454545454,0.0006183918781581377,33,44
"1.0, 1.0, 1.0, 1.0","A_0, A_1, R_5, R_6",1.0,0.23289394275505867,0.7471910112359551,1,68.73356076898553,4977,2169,0.36363636363636365,0.0006352691888287555,133,178
"0.0, 1.0, 1.0, 1.0","A_1, A_2, R_1, R_5",1.0,1.0,1.0,10,80.34080660392726,4979,2201,0.36363636363636365,0.00816803935619323,177,177
