A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,1.0,#,#,1.0,#,#,#,#,0.0,0.0,0.0,0.2495343537242618,0.7575757575757576,1,55.444162522517686,4975,1404,0.36363636363636365,0.0008169967897062548,175,231
0.0,#,0.0,#,#,0.0,1.0,#,#,#,#,0.0,0.2408892855082417,0.7522522522522522,1,48.37283526314819,4975,1409,0.36363636363636365,0.0007113726325513909,167,222
1.0,#,#,1.0,#,1.0,#,0.0,1.0,1.0,#,1.0,0.08250009529139642,0.6071428571428571,1,49.98082104708571,4884,1414,0.5454545454545454,0.00073501972857134,34,56
1.0,1.0,#,#,1.0,#,#,#,#,0.0,0.0,0.0,1.0,1.0,2,57.265614373085896,4955,1417,0.45454545454545453,0.0016843003156480118,116,116
#,#,0.0,#,0.0,#,#,1.0,#,1.0,1.0,1.0,0.2373046875,0.75,1,60.607374814287155,4986,1428,0.45454545454545453,0.0008912942055003777,87,116
#,0.0,#,1.0,1.0,#,#,1.0,1.0,#,#,1.0,1.0,1.0,5,62.32559194610904,4997,1430,0.45454545454545453,0.0045828118381769055,108,108
1.0,#,#,0.0,#,0.0,#,#,#,0.0,0.0,0.0,0.2481884326272296,0.7567567567567568,1,47.26088302287768,4930,1431,0.45454545454545453,0.0006950202234331422,84,111
0.0,#,1.0,#,0.0,#,#,#,#,#,0.0,0.0,0.2560106145790516,0.7614678899082569,2,52.8765086885542,4974,1470,0.36363636363636365,0.0015552076276396974,166,218
1.0,1.0,1.0,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,11,59.07286316545366,4984,1481,0.36363636363636365,0.00955600384991453,219,219
#,#,0.0,0.0,#,0.0,#,#,1.0,0.0,#,0.0,0.46991601719464476,0.8598130841121495,1,52.621971056817515,4933,1485,0.45454545454545453,0.0007738605743717804,92,107
0.0,1.0,#,1.0,#,#,1.0,#,#,0.0,0.0,1.0,0.2535525376,0.76,1,53.68747758070294,4840,1486,0.5454545454545454,0.0007895299511361088,38,50
1.0,0.0,1.0,0.0,#,#,#,#,0.0,#,#,0.0,1.0,1.0,3,60.21876123918438,4939,1488,0.45454545454545453,0.002656737721408949,108,108
#,1.0,1.0,#,#,1.0,1.0,#,#,#,1.0,1.0,1.0,1.0,4,66.55194919286222,4984,1493,0.45454545454545453,0.003914861309344855,116,116
