A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
1.0,0.0,#,#,#,#,#,#,1.0,#,1.0,1.0,0.2153478197941996,0.7355769230769231,1,69.45197041788292,4972,1621,0.36363636363636365,0.00073206681050282,153,208
#,0.0,1.0,#,1.0,#,#,#,1.0,#,#,1.0,1.0,1.0,15,69.64197490194996,4976,1626,0.36363636363636365,0.011011043632779492,204,204
0.0,#,1.0,#,0.0,#,#,#,#,#,#,0.0,0.22470417277999477,0.7418604651162791,2,65.94550164916674,4998,1629,0.2727272727272727,0.0014373584787919906,319,430
#,#,0.0,1.0,#,#,#,1.0,0.0,#,#,1.0,0.20891960026334427,0.7311320754716981,1,70.16986928693143,4982,1654,0.36363636363636365,0.0007396339094946235,155,212
#,0.0,0.0,1.0,#,#,#,1.0,#,#,#,1.0,1.0,1.0,17,77.5931356122902,4993,1654,0.36363636363636365,0.14027520359180434,209,209
0.0,#,1.0,#,0.0,#,0.0,#,#,#,#,0.0,1.0,1.0,6,70.70230008722736,4998,1679,0.36363636363636365,0.004688122462810571,207,207
#,#,1.0,#,#,#,#,1.0,1.0,#,#,1.0,0.09237448774439745,0.6210268948655256,1,66.55518897288916,4976,1753,0.2727272727272727,0.0007015329388156561,254,409
0.0,#,0.0,1.0,#,1.0,#,1.0,#,#,#,1.0,1.0,1.0,2,85.43017804429734,4950,1756,0.45454545454545453,0.0018009740425009872,103,103
1.0,#,#,#,#,1.0,#,#,1.0,1.0,1.0,1.0,0.4779830563763579,0.8627450980392157,1,74.80879850704844,4919,1757,0.45454545454545453,0.0007885310984136144,88,102
0.0,0.0,0.0,0.0,#,#,#,#,#,#,#,0.0,1.0,1.0,13,75.91753360131277,4956,1767,0.36363636363636365,0.01040283209467827,200,200
0.0,0.0,#,0.0,0.0,#,#,0.0,#,#,#,0.0,1.0,1.0,4,90.40074668936857,4931,1773,0.45454545454545453,0.0038115195809574403,101,101
#,0.0,1.0,#,1.0,#,#,#,#,#,#,1.0,0.2294215186634978,0.7449494949494949,2,62.747375545779356,4997,1775,0.2727272727272727,0.0012951094923549804,295,396
#,0.0,1.0,#,#,#,#,#,1.0,#,#,1.0,0.20938539165956088,0.731457800511509,3,64.78971089203074,4976,1787,0.2727272727272727,0.0020487711171078347,286,391
0.0,#,0.0,1.0,1.0,#,#,1.0,0.0,#,#,1.0,0.23020027395048778,0.7454545454545455,1,64.83715243710176,4982,1806,0.5454545454545454,0.0006834237689891749,41,55
0.0,0.0,#,0.0,#,#,#,#,#,#,#,0.0,0.2373046875,0.75,4,73.59044380876882,4966,1813,0.2727272727272727,0.003161682281689881,291,388
0.0,0.0,#,#,1.0,1.0,#,0.0,#,#,#,1.0,0.24141020746326297,0.7525773195876289,1,60.68250357015038,4997,1849,0.45454545454545453,0.0006203484582888938,73,97
0.0,#,1.0,#,0.0,#,#,#,#,#,0.0,0.0,0.22621766644850363,0.7428571428571429,3,73.3142343463774,4966,1863,0.36363636363636365,0.002318332397748183,156,210
#,#,1.0,1.0,#,#,#,1.0,1.0,0.0,1.0,1.0,0.2535525376,0.76,1,66.75852964116072,4766,1878,0.5454545454545454,0.0007036762754779771,38,50
0.0,0.0,#,#,1.0,#,#,1.0,0.0,#,#,1.0,0.22127664518454443,0.7395833333333334,1,50.74779632964354,4982,1886,0.45454545454545453,0.0005349132238517894,71,96
#,1.0,1.0,#,#,#,#,#,1.0,#,0.0,0.0,0.2106270086360922,0.7323232323232324,1,69.52610224882623,4971,1917,0.36363636363636365,0.0007328482059435666,145,198
0.0,1.0,#,#,#,1.0,#,#,#,#,#,1.0,0.22949929921562498,0.745,3,72.81561024794847,4987,1927,0.2727272727272727,0.0024275947269087462,298,400
1.0,#,1.0,#,#,1.0,#,#,0.0,1.0,#,0.0,0.19035072991153335,0.7176470588235294,1,67.84964006237149,4891,1972,0.45454545454545453,0.0007151772555244191,61,85
#,#,1.0,#,#,0.0,#,#,#,#,1.0,1.0,0.09486390884022088,0.6243386243386243,1,67.43658554129274,4983,1973,0.2727272727272727,0.0007108234048850422,236,378
1.0,#,#,#,#,#,0.0,1.0,1.0,#,0.0,1.0,0.11177418429208745,0.6451612903225806,1,74.0965523627087,4993,1997,0.45454545454545453,0.000781023582643472,60,93
0.0,0.0,#,#,1.0,#,#,0.0,#,#,#,1.0,0.23299017196734473,0.7472527472527473,1,63.37966277746999,4997,2014,0.36363636363636365,0.0006558856202736526,136,182
1.0,#,0.0,#,#,1.0,#,#,1.0,0.0,0.0,0.0,0.22900814666525524,0.7446808510638298,1,73.1532020290442,4960,2030,0.5454545454545454,0.0007710800854928896,35,47
#,#,0.0,#,#,#,#,#,0.0,0.0,#,0.0,0.1063829874377066,0.6388140161725068,1,73.97867863342465,4988,2051,0.2727272727272727,0.0007797811204855253,237,371
#,#,1.0,#,1.0,#,1.0,#,1.0,0.0,#,1.0,0.512908935546875,0.875,1,74.66821922815065,4934,2054,0.45454545454545453,0.0007870493056911578,77,88
#,#,1.0,#,0.0,#,0.0,#,0.0,1.0,#,0.0,0.5087116673270895,0.8735632183908046,1,69.51178494830445,4920,2057,0.45454545454545453,0.0007326972927230356,76,87
0.0,0.0,#,#,0.0,#,#,#,#,#,#,0.0,0.24721856889595611,0.7561643835616438,1,82.7743372077741,4966,2064,0.2727272727272727,0.0008724928128976073,276,365
#,0.0,0.0,0.0,#,#,#,#,#,#,#,0.0,0.24055538817577485,0.7520435967302452,1,69.43945887109143,4970,2066,0.2727272727272727,0.0007319349310457075,276,367
0.0,0.0,#,0.0,0.0,#,#,#,#,#,#,0.0,1.0,1.0,8,88.5977353272978,4966,2067,0.36363636363636365,0.007471000304651112,179,179
#,1.0,0.0,#,0.0,0.0,#,#,#,#,#,0.0,0.25093938594613086,0.7584269662921348,1,72.60027422408766,4910,2094,0.36363636363636365,0.0007652518837561015,135,178
1.0,0.0,#,#,#,#,#,1.0,1.0,#,#,1.0,1.0,1.0,12,78.15116577014048,4993,2098,0.36363636363636365,0.009885140649260998,181,181
1.0,#,#,#,1.0,#,#,#,1.0,#,#,1.0,0.08964916218129745,0.61731843575419,1,69.52480679663715,4983,2108,0.2727272727272727,0.0007328345510746476,221,358
#,0.0,0.0,#,#,#,#,0.0,#,#,#,0.0,0.26598848496899274,0.7673130193905817,4,65.78950414785638,4970,2109,0.2727272727272727,0.002773848584931271,277,361
#,1.0,0.0,1.0,#,0.0,0.0,#,0.0,#,0.0,0.0,0.13168724279835387,0.6666666666666666,1,71.51946022361366,4297,2131,0.6363636363636364,0.0007538594343653488,14,21
1.0,#,0.0,#,#,0.0,#,0.0,#,#,#,0.0,0.2662118732867609,0.7674418604651163,1,86.96883200153201,4988,2156,0.36363636363636365,0.0009167053875281233,132,172
#,#,0.0,1.0,1.0,#,#,1.0,0.0,#,0.0,1.0,0.28462802079628785,0.7777777777777778,1,70.48692172142145,4982,2159,0.5454545454545454,0.0007429758386448366,35,45
0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,0.0,1.0,1.0,12,71.25233126831861,4994,2167,0.36363636363636365,0.009012524755506289,178,178
0.0,#,#,0.0,0.0,#,#,#,#,#,#,0.0,0.2012928557908491,0.7257142857142858,2,78.335408481437,4998,2169,0.2727272727272727,0.0017638517201843083,254,350
0.0,1.0,#,#,#,1.0,1.0,#,#,#,#,1.0,1.0,1.0,12,81.84567059973295,4987,2189,0.36363636363636365,0.010352449095782588,183,183
1.0,#,#,#,#,1.0,#,#,1.0,#,1.0,1.0,0.18380705824172683,0.7126436781609196,1,70.42777715239966,4972,2193,0.36363636363636365,0.0007423524182329774,124,174
#,0.0,#,#,#,#,#,#,1.0,1.0,#,1.0,0.08761608214173976,0.6144927536231884,1,72.40330619002891,4993,2206,0.2727272727272727,0.0007631757186077724,212,345
0.0,0.0,#,#,1.0,#,#,#,#,#,#,1.0,0.2373046875,0.75,1,59.6003557574137,4997,2208,0.2727272727272727,0.0006060903225406177,261,348
